11	110	104	112	29	44	18	90	114	99	65	5	19	105	106	59	6	81	82	2	68	47	40	26	92
116	4	57	69	111	85	88	62	15	109	107	103	25	37	64	10	73	67	81	30	28	53	32	31	9
122	92	89	126	124	36	23	9	58	42	26	34	32	31	39	55	48	52	53	90	18	114	91	60	43
113	56	17	115	79	101	97	4	116	62	88	109	103	107	15	73	67	54	24	3	98	80	1	8	12
32	40	89	122	26	92	83	94	121	1	80	3	12	98	38	24	54	15	109	103	107	62	116	4	57
118	87	25	6	81	64	106	59	105	19	11	70	44	5	104	91	18	90	114	60	43	99	29	65	112
46	33	113	56	61	74	100	49	80	1	121	27	94	83	92	89	122	26	39	48	52	32	40	47	12
82	95	30	81	67	50	73	75	38	80	1	98	49	127	93	21	86	20	14	84	51	41	27	12	78
108	16	57	13	79	72	4	116	109	88	107	103	62	15	67	75	50	73	71	125	10	82	68	12	3
58	42	34	26	122	92	36	124	126	23	22	9	31	39	55	48	52	32	40	47	12	78	1	8	27
71	10	81	67	73	24	38	3	12	80	49	127	93	14	77	86	20	33	46	7	56	17	115	75	50
40	47	68	2	12	27	127	49	3	24	38	80	98	1	8	66	102	89	31	42	22	36	23	9	120
46	74	61	33	7	56	100	49	127	27	8	102	1	98	12	68	28	82	2	47	119	53	123	95	30
91	60	44	99	114	18	29	43	106	105	59	6	81	30	37	25	103	109	116	107	62	54	67	10	64
59	64	6	25	37	30	81	10	73	15	107	116	4	16	13	69	57	85	111	88	62	54	24	3	12
18	43	91	44	106	105	60	90	53	39	31	89	40	47	12	80	3	98	49	1	27	102	94	41	66
106	44	114	60	105	59	6	25	88	111	85	57	108	16	13	4	72	101	15	107	103	109	62	54	24
30	81	37	25	6	64	106	43	99	29	112	65	18	90	52	48	32	40	26	31	55	34	42	22	126
43	29	65	99	104	19	87	118	25	88	62	54	24	115	79	72	97	101	15	73	10	64	81	6	37
117	83	96	51	93	41	94	45	66	121	27	1	78	2	68	47	12	80	38	3	98	49	127	33	21
28	119	2	68	78	1	49	74	61	113	63	17	56	7	46	33	20	77	51	66	45	117	102	121	8
104	110	5	70	11	118	19	105	59	64	106	43	60	18	29	65	99	44	91	114	90	52	55	31	32
121	66	45	83	89	40	32	90	114	18	43	99	104	29	65	44	106	64	10	73	125	67	15	101	79
1	121	27	127	74	7	113	63	17	56	46	61	33	20	14	84	77	21	86	93	41	66	8	12	2
90	60	105	106	44	99	104	110	70	19	87	11	118	25	37	6	30	10	64	81	82	123	53	52	55
114	60	90	43	105	19	5	110	104	65	99	29	18	91	44	106	64	81	6	37	10	125	67	71	73
29	112	70	5	11	110	44	60	90	32	55	39	31	9	120	22	42	58	23	126	92	89	40	34	26
50	73	15	54	67	125	71	10	37	30	82	28	2	68	47	12	78	1	98	38	24	115	75	3	49
10	81	71	73	75	3	38	24	125	50	67	15	107	103	109	116	62	88	25	118	19	110	70	112	65
69	111	85	57	108	16	13	101	97	79	72	4	116	62	107	103	25	88	109	15	67	71	81	37	59
47	68	119	123	95	30	82	28	53	32	31	55	48	52	39	26	92	89	102	66	45	41	117	51	96
84	93	86	21	76	61	33	7	46	56	113	17	115	75	24	73	71	10	81	30	95	82	123	28	2
66	83	94	117	102	8	121	45	41	93	21	33	61	56	17	63	113	7	74	49	3	12	47	119	53
105	106	44	60	90	53	119	123	95	30	10	82	2	47	40	26	42	22	23	120	9	36	126	122	89
72	4	57	35	69	111	88	25	37	6	59	105	106	64	10	30	28	68	78	12	98	3	49	80	38
127	27	41	45	66	94	83	117	102	121	8	1	78	2	12	47	119	123	53	32	39	26	31	55	48
120	9	42	58	22	23	31	89	94	117	83	96	41	66	8	102	1	121	27	49	100	56	61	46	113
30	37	59	105	60	90	52	48	32	55	31	40	26	89	122	126	92	83	96	124	36	23	22	58	9
61	76	21	51	96	117	83	92	126	22	23	9	31	40	39	52	90	18	44	29	43	99	104	110	5
